region,max_pre_shift,local_datetime,energy,capacity,shifting_value,spin,reg,total_profit,year,month
AZNM,12.0,2030-06-29 03:00:00+00:00,4.087960500596077,9.218094395589432,13.30605489618551,0.1607000496740737,0.0576551310106795,13.30605489618551,2030,6
AZNM,12.0,2030-07-01 03:00:00+00:00,0.1017549943191312,3.508876139730136,3.610631134049268,0.1605987189745509,0.0588990886876341,3.610631134049268,2030,7
AZNM,12.0,2030-07-10 03:00:00+00:00,-2.927637344208056,3.666783080403525,0.7391457361954679,0.1597657816377315,0.0566792784436933,0.7391457361954679,2030,7
AZNM,12.0,2030-08-09 03:00:00+00:00,-2.964701938183629,13.058011051183422,10.093309112999794,0.1665507372094461,0.056846701685598,10.093309112999794,2030,8
AZNM,12.0,2030-08-10 03:00:00+00:00,-11.365569228034955,23.36866987194403,12.003100643909075,0.1484184517103466,0.0506065444147867,12.003100643909075,2030,8
CAMX,12.0,2030-08-09 03:00:00+00:00,-2.957988590737557,9.156790687270956,6.198802096533399,0.166928509683525,0.0561390750797388,6.198802096533399,2030,8
CAMX,12.0,2030-08-10 03:00:00+00:00,-11.363185079275857,15.576546587154368,4.213361507878514,0.1513791244268446,0.0509910912712245,4.213361507878514,2030,8
CAMX,12.0,2030-08-11 03:00:00+00:00,-15.112458704501885,21.9184559200798,6.805997215577918,0.1589695996750385,0.053670188015163,6.805997215577918,2030,8
CAMX,12.0,2030-08-12 03:00:00+00:00,-18.338677136615782,18.581031544357533,0.2423544077417432,0.0042563867590031,0.0014423820051865,0.2423544077417432,2030,8
CAMX,12.0,2030-08-15 03:00:00+00:00,-15.142152362185906,27.10761750522815,11.96546514304224,0.1625393795388194,0.0552031312584665,11.96546514304224,2030,8
NWPP,12.0,2030-01-12 03:00:00+00:00,2.120895989073499,4.709394781321123,6.830290770394623,0.0313247736161481,0.0180702720916077,6.830290770394623,2030,1
NWPP,12.0,2030-07-04 03:00:00+00:00,-0.0540067978964771,6.635697751890605,6.581690953994126,0.1616944168126017,0.0636161910269731,6.581690953994126,2030,7
NWPP,12.0,2030-07-19 03:00:00+00:00,1.5681477249721496,0.9929902842058486,2.561138009177998,0.0284686833713159,0.0106204614217323,2.561138009177998,2030,7
NWPP,12.0,2030-07-21 03:00:00+00:00,-0.6194123320881858,0.8363669980716151,0.2169546659834282,0.1674331174617053,0.0622194358892912,0.2169546659834282,2030,7
RMPA,12.0,2030-07-04 03:00:00+00:00,-0.4040803535012032,0.5340358331234009,0.1299554796221969,0.0057303234144723,0.0662691614407603,0.2372104502164123,2030,7
RMPA,12.0,2030-07-19 03:00:00+00:00,-6.096171084581738,9.110715479890755,3.0145443953090165,0.0427393520469962,0.0156080920659679,3.0145443953090165,2030,7
RMPA,12.0,2030-07-26 03:00:00+00:00,-7.809849910665491,8.04343899373528,0.2335890830697877,0.1844838966287043,0.0710576736547125,0.2335890830697877,2030,7
RMPA,12.0,2030-07-27 03:00:00+00:00,-0.5687183998778664,1.5635822867957592,0.9948638869178922,0.1817402831952013,0.0671761332917701,0.9948638869178922,2030,7
NWPP,1.0,2030-01-11 15:00:00+00:00,-0.8452050448393962,10.58807684585777,9.742871801018373,0.1422358579296283,0.078706753255883,9.742871801018373,2030,1
AZNM,1.0,2030-06-29 03:00:00+00:00,0.6128904615112447,9.218094395589432,9.830984857100676,0.1607000496740737,0.0576551310106795,9.830984857100676,2030,6
AZNM,1.0,2030-07-01 03:00:00+00:00,0.1017549943191312,3.508876139730136,3.610631134049268,0.1605987189745509,0.0588990886876341,3.610631134049268,2030,7
AZNM,1.0,2030-08-09 03:00:00+00:00,-2.964701938183629,13.058011051183422,10.093309112999794,0.1665507372094461,0.056846701685598,10.093309112999794,2030,8
CAMX,1.0,2030-08-09 03:00:00+00:00,-2.957988590737557,9.156790687270956,6.198802096533399,0.166928509683525,0.0561390750797388,6.198802096533399,2030,8
NWPP,1.0,2030-07-04 03:00:00+00:00,-0.0540067978964771,6.635697751890605,6.581690953994126,0.1616944168126017,0.0636161910269731,6.581690953994126,2030,7
NWPP,1.0,2030-07-21 03:00:00+00:00,-0.6194123320881858,0.8363669980716151,0.2169546659834282,0.1674331174617053,0.0622194358892912,0.2169546659834282,2030,7
RMPA,1.0,2030-07-04 03:00:00+00:00,-0.4040803535012032,0.5340358331234009,0.1299554796221969,0.0057303234144723,0.0662691614407603,0.2372104502164123,2030,7
RMPA,1.0,2030-07-19 03:00:00+00:00,-6.096171084581738,9.110715479890755,3.0145443953090165,0.0427393520469962,0.0156080920659679,3.0145443953090165,2030,7
RMPA,1.0,2030-07-27 03:00:00+00:00,-0.5687183998778664,1.5635822867957592,0.9948638869178922,0.1817402831952013,0.0671761332917701,0.9948638869178922,2030,7
NWPP,1.0,2030-01-12 14:00:00+00:00,0.8164507938199421,17.57954567614238,18.39599646996232,0.1109693602896293,0.0602992019422882,18.39599646996232,2030,1
NWPP,1.0,2030-01-13 14:00:00+00:00,-2.4077760271348225,15.328738548594249,12.920962521459424,0.0843334909682239,0.0407328024150878,12.920962521459424,2030,1
NWPP,1.0,2030-01-27 14:00:00+00:00,-3.4354571801071887,5.071898820271123,1.6364416401639348,0.0664820707927851,0.0365674353251276,1.6364416401639348,2030,1
NWPP,1.0,2030-02-28 14:00:00+00:00,1.0032806062619828,2.7023211401079887,3.7056017463699695,0.1366326377949236,0.0675303704414406,3.7056017463699695,2030,2
RMPA,12.0,2030-08-01 19:00:00+00:00,1.3660117452849294,-0.0395949861940651,1.3264167590908646,0.0004033710672997,0.000146662016956,1.3264167590908646,2030,8
